ID SERVIÇO;PROCESSO;SEI;TIPO;ANALISTA;ORGAO RESPONSAVEL;ANALISE;ANO;VIA;UF;DATA FINALIZACAO;DESCRICAO SERVICO;QUANTITATIVO INICIAL;UNIDADE INICIAL;PRECO UNITARIO INICIAL;MES BASE INICIAL;ANO BASE INICIAL;PRECO TOTAL INICIAL;QUANTITATIVO FINAL;UNIDADE FINAL;PREÇO UNITARIO FINAL;MES BASE FINAL;ANO BASE FINAL;PRECO TOTAL FINAL;MODALIDADE;TIPO DE INDICE;INDICE INICIAL;INDICE FINAL;INDICE ATUAL;ECONOMIA ATUAL;PESO POR UF;VARIACAO FINAL X INICIAL ATUAL;VARIACAO PONDERADA ATUAL
222;50609.002633/2019-08;3534011;RPFO;Leonardo Bezerra;FGV;AT n. 29/2019;2019;BR-369;PR;03/07/2019;Perfuração e instalação de tubulação por método não destrutivo, perfuração direcional d= 630 mm.  ;1;m;R$ 1.312,73;Setembro;2013;R$ 2.096,37;1;m;R$ 2.054,47;setembro;2013;R$ 3.280,90;RODOVIÁRIO;IGP-DI;522,69;522,69;834,713;R$ 1.184,53;0,24%;56,50%;0,14%
223;50609.002633/2019-08;3534011;RPFO;Leonardo Bezerra;FGV;AT n. 29/2019;2019;BR-369;PR;03/07/2019;Mobilização de equipamentos especializados de perfuração não destrutiva. ;1;vb;R$ 10.871,51;Setembro;2013;R$ 17.361,32;1;vb;R$ 10.846,46;setembro;2013;R$ 17.321,32;RODOVIÁRIO;IGP-DI;522,69;522,69;834,713;-R$ 40,00;1,28%;-0,23%;0,00%
224;50609.002633/2019-08;3534011;RPFO;Leonardo Bezerra;FGV;AT n. 29/2019;2019;BR-369;PR;03/07/2019;Fornecimento e instalação de grade de proteção de pedestres (1,50 m x 0,90 m). ;1;m;R$ 271,55;Setembro;2013;R$ 433,65;1;m;R$ 246,69;setembro;2013;R$ 393,95;RODOVIÁRIO;IGP-DI;522,69;522,69;834,713;-R$ 39,70;0,03%;-9,15%;0,00%
225;50620.000217/2019-17;3620634;PE;Rodrigo Lima;DNIT;AT n. 41/2019;2019;BR-416;AL;05/07/2019;Escavação carga e transporte de material de 1° categoria DMT 3.000 a 5.000m.;57236,14;m³;R$ 12,95;Julho;2018;R$ 896.991,01;57236,14;m³;R$ 10,50;Julho;2018;R$ 727.290,01;RODOVIÁRIO;IGP-DI;689,746;689,746;834,713;-R$ 169.701,00;23,39%;-18,92%;-4,43%
226;50620.000217/2019-17;3620634;PE;Rodrigo Lima;DNIT;AT n. 41/2019;2019;BR-416;AL;05/07/2019;Escavação carga e transporte de material de 1° categoria DMT 5.000 a 7.000m.;5056,25;m³;R$ 15,73;Julho;2018;R$ 96.251,00;5056,25;m³;R$ 13,01;Julho;2018;R$ 79.607,47;RODOVIÁRIO;IGP-DI;689,746;689,746;834,713;-R$ 16.643,53;2,56%;-17,29%;-0,44%
227;50620.000217/2019-17;3620634;PE;Rodrigo Lima;DNIT;AT n. 41/2019;2019;BR-416;AL;05/07/2019;Escavação carga e transporte de material de 1° categoria DMT 7.000 a 9.000m.;5464,92;m³;R$ 18,51;Julho;2018;R$ 122.416,01;5464,92;m³;R$ 15,52;Julho;2018;R$ 102.641,62;RODOVIÁRIO;IGP-DI;689,746;689,746;834,713;-R$ 19.774,38;3,30%;-16,15%;-0,53%
228;50620.000217/2019-17;3620634;PE;Rodrigo Lima;DNIT;AT n. 41/2019;2019;BR-416;AL;05/07/2019;Escavação carga e transporte de material de 1° categoria DMT 9.000 a 11.000m.;9719,34;m³;R$ 21,30;Julho;2018;R$ 250.532,67;9719,34;m³;R$ 18,02;Julho;2018;R$ 211.952,99;RODOVIÁRIO;IGP-DI;689,746;689,746;834,713;-R$ 38.579,68;6,82%;-15,40%;-1,05%
229;50620.000217/2019-17;3620634;PE;Rodrigo Lima;DNIT;AT n. 41/2019;2019;BR-416;AL;05/07/2019;Reciclagem com incorporação do revestimento asfáltico com adição de material de jazida.;11679,32;m³;R$ 90,20;Julho;2018;R$ 1.274.888,14;11679,32;m³;R$ 86,98;Julho;2018;R$ 1.229.376,62;RODOVIÁRIO;IGP-DI;689,746;689,746;834,713;-R$ 45.511,53;39,54%;-3,57%;-1,41%
230;50620.000217/2019-17;3620634;PE;Rodrigo Lima;DNIT;AT n. 41/2019;2019;BR-416;AL;05/07/2019;Terminal absorvedor de energia – de abertura.;71;und;R$ 8.631,59;Julho;2018;R$ 741.646,82;71;und;R$ 8.819,54;Julho;2018;R$ 757.795,93;RODOVIÁRIO;IGP-DI;689,746;689,746;834,713;R$ 16.149,11;24,38%;2,18%;0,53%
231;50620.000217/2019-17;3620634;PE;Rodrigo Lima;DNIT;AT n. 41/2019;2019;BR-416;AL;05/07/2019;Confecção e instalação de delineadores fixados em defensa.;13;m²;R$ 341,16;Julho;2018;R$ 5.367,22;13;m²;R$ 14,27;Julho;2018;R$ 224,50;RODOVIÁRIO;IGP-DI;689,746;689,746;834,713;-R$ 5.142,72;0,01%;-95,82%;-0,01%
232;50616.000858/2019-22;3325029;RPFO;Fábio Gobara;DNIT;AT n. 28/2019;2019;BR-280;SC;08/07/2019;Fornecimento e colocação de geotêxtil não tecido RT 16 (300 g/m2).;26040;m²;R$ 10,43;Maio;2012;R$ 473.270,82;26040;m²;R$ 10,51;Maio;2012;R$ 476.900,89;RODOVIÁRIO;IGP-DI;479,019;479,019;834,713;R$ 3.630,07;0,16%;0,77%;0,00%
233;50616.000858/2019-22;3325029;RPFO;Fábio Gobara;DNIT;AT n. 28/2019;2019;BR-280;SC;08/07/2019;Terminal absorvedor de impacto – compr = 12,0 m.;2;und;R$ 11.980,51;Maio;2012;R$ 41.753,20;2;und;R$ 10.532,92;Maio;2012;R$ 36.708,21;RODOVIÁRIO;IGP-DI;479,019;479,019;834,713;-R$ 5.044,99;0,01%;-12,08%;0,00%
234;50616.000858/2019-22;3325029;RPFO;Fábio Gobara;DNIT;AT n. 28/2019;2019;BR-280;SC;08/07/2019;Execução de passa fauna aéreo no Km 37 + 280. ;1;und;R$ 5.985,75;Maio;2012;R$ 10.430,45;1;und;R$ 6.054,16;Maio;2012;R$ 10.549,66;RODOVIÁRIO;IGP-DI;479,019;479,019;834,713;R$ 119,21;0,00%;1,14%;0,00%
235;50616.000530/2014-00;3600191;RPFO;Gabriel Assunção;FGV;AT n. 34/2019;2019;BR-470;SC;12/07/2019;Fornecimento e cravação de estaca metálica W 360 x 122. ;378;m;R$ 829,51;Novembro;2012;R$ 2.066.175,35;1492;m;R$ 902,13;Novembro;2012;R$ 2.247.060,04;RODOVIÁRIO;IGP-DI;499,989;499,989;834,713;R$ 180.884,68;0,75%;8,75%;0,07%
236;50616.000530/2014-00;3600191;RPFO;Gabriel Assunção;FGV;AT n. 34/2019;2019;BR-470;SC;12/07/2019;Concreto estrutural Fck = 45 Mp – usinado e bombeado (para OAE).;592,58;m³;R$ 292,53;Novembro;2012;R$ 289.397,07;592,58;m³;R$ 318,14;Novembro;2012;R$ 314.732,79;RODOVIÁRIO;IGP-DI;499,989;499,989;834,713;R$ 25.335,72;0,10%;8,75%;0,01%
237;50616.000530/2014-00;3600191;RPFO;Gabriel Assunção;FGV;AT n. 34/2019;2019;BR-470;SC;12/07/2019;Confecção e colocação cabo 19 cord. D= 12,7 mm FREYSS. ;19296,34;kg;R$ 10,30;Novembro;2012;R$ 331.809,56;19296,34;kg;R$ 11,20;Novembro;2012;R$ 360.802,63;RODOVIÁRIO;IGP-DI;499,989;499,989;834,713;R$ 28.993,07;0,12%;8,74%;0,01%
238;50616.000530/2014-00;3600191;RPFO;Gabriel Assunção;FGV;AT n. 34/2019;2019;BR-470;SC;12/07/2019;Protensão e injeção cabo 19 cord. D= 12,7 mm FREYSS. ;40;und;R$ 3.097,91;Novembro;2012;R$ 206.873,81;40;und;R$ 3.369,13;Novembro;2012;R$ 224.985,48;RODOVIÁRIO;IGP-DI;499,989;499,989;834,713;R$ 18.111,67;0,08%;8,75%;0,01%
239;50616.000530/2014-00;3600191;RPFO;Gabriel Assunção;FGV;AT n. 34/2019;2019;BR-470;SC;12/07/2019;Confecção e colocação cabo 12 cord. D= 15,2 mm FREYSS. ;7159,29;kg;R$ 12,07;Novembro;2012;R$ 144.262,67;7159,29;kg;R$ 13,12;Novembro;2012;R$ 156.812,44;RODOVIÁRIO;IGP-DI;499,989;499,989;834,713;R$ 12.549,78;0,05%;8,70%;0,00%
240;50616.000530/2014-00;3600191;RPFO;Gabriel Assunção;FGV;AT n. 34/2019;2019;BR-470;SC;12/07/2019;Protensão e injeção cabo 12 cord. D= 15,2 mm FREYSS. ;15;und;R$ 2.192,78;Novembro;2012;R$ 54.911,47;15;und;R$ 2.384,75;Novembro;2012;R$ 59.718,77;RODOVIÁRIO;IGP-DI;499,989;499,989;834,713;R$ 4.807,30;0,02%;8,75%;0,00%
241;50616.000530/2014-00;3600191;RPFO;Gabriel Assunção;FGV;AT n. 34/2019;2019;BR-470;SC;12/07/2019;Remanejamento da rede de alta tensão (complementação). ;1;und;R$ 599.756,51;Novembro;2012;R$ 1.001.271,14;1;und;R$ 599.756,51;Novembro;2012;R$ 1.001.271,14;RODOVIÁRIO;IGP-DI;499,989;499,989;834,713;R$ 0,01;0,33%;0,00%;0,00%
242;50616.000530/2014-00;3600191;RPFO;Gabriel Assunção;FGV;AT n. 34/2019;2019;BR-470;SC;12/07/2019;Remoção e relocação de postes da Rede de Distribuição Elétrica. ;1;und;R$ 927.673,66;Novembro;2012;R$ 1.548.716,60;1;und;R$ 927.673,67;Novembro;2012;R$ 1.548.716,62;RODOVIÁRIO;IGP-DI;499,989;499,989;834,713;R$ 0,02;0,52%;0,00%;0,00%
243;50606.004005/2016-36;3634584;PE;Laura Oliveira;FGV;AT n. 35/2019;2019;BR-367;MG;17/07/2019;Fornecimento e instalação de elementos prismáticos para defensas.;1042;und;R$ 21,03;Julho;2018;R$ 26.518,87;1042;und;R$ 21,02;Julho;2018;R$ 26.506,26;RODOVIÁRIO;IGP-DI;689,746;689,746;834,713;-R$ 12,61;0,07%;-0,05%;0,00%
244;50606.004005/2016-36;3634584;PE;Laura Oliveira;FGV;AT n. 35/2019;2019;BR-367;MG;17/07/2019;Escavação, carga e transporte de material de 1ª categoria DMT 3.000 a 4.000 m c/e. ;101083,81;m³;R$ 6,42;Julho;2018;R$ 785.352,48;101083,81;m³;R$ 6,41;Julho;2018;R$ 784.129,19;RODOVIÁRIO;IGP-DI;689,746;689,746;834,713;-R$ 1.223,29;1,95%;-0,16%;0,00%
245;50606.004005/2016-36;3634584;PE;Laura Oliveira;FGV;AT n. 35/2019;2019;BR-367;MG;17/07/2019;Escavação, carga e transporte de material de 1ª categoria DMT 4.000 a 5.000 m c/e.;1,15;m³;R$ 7,04;Julho;2018;R$ 9,80;1,15;m³;R$ 7,03;Julho;2018;R$ 9,78;RODOVIÁRIO;IGP-DI;689,746;689,746;834,713;-R$ 0,01;0,00%;-0,14%;0,00%
246;50606.004005/2016-36;3634584;PE;Laura Oliveira;FGV;AT n. 35/2019;2019;BR-367;MG;17/07/2019;Escavação, carga e transporte de material de 1ª categoria DMT 5.000 a 6.000 m c/e.;8781,63;m³;R$ 7,67;Julho;2018;R$ 81.511,42;8781,63;m³;R$ 7,65;Julho;2018;R$ 81.298,88;RODOVIÁRIO;IGP-DI;689,746;689,746;834,713;-R$ 212,55;0,20%;-0,26%;0,00%
247;50606.004005/2016-36;3634584;PE;Laura Oliveira;FGV;AT n. 35/2019;2019;BR-367;MG;17/07/2019;Escavação, carga e transporte de material de 1ª categoria DMT 6.000 a 7.000 m c/e.;4231,77;m³;R$ 8,29;Julho;2018;R$ 42.454,58;4231,77;m³;R$ 8,28;Julho;2018;R$ 42.403,37;RODOVIÁRIO;IGP-DI;689,746;689,746;834,713;-R$ 51,21;0,11%;-0,12%;0,00%
248;50606.004005/2016-36;3634584;PE;Laura Oliveira;FGV;AT n. 35/2019;2019;BR-367;MG;17/07/2019;Escavação, carga e transporte de material de 1ª categoria DMT 7.000 a 8.000 m c/e.;3353,63;m³;R$ 8,90;Julho;2018;R$ 36.120,45;3353,63;m³;R$ 8,90;Julho;2018;R$ 36.120,45;RODOVIÁRIO;IGP-DI;689,746;689,746;834,713; R$-   ;0,09%;0,00%;0,00%
249;50606.004005/2016-36;3634584;PE;Laura Oliveira;FGV;AT n. 35/2019;2019;BR-367;MG;17/07/2019;Escavação, carga e transporte de material de 1ª categoria DMT 8.000 a 9.000 m c/e.;796,61;m³;R$ 9,53;Julho;2018;R$ 9.187,27;796,61;m³;R$ 9,52;Julho;2018;R$ 9.177,63;RODOVIÁRIO;IGP-DI;689,746;689,746;834,713;-R$ 9,64;0,02%;-0,10%;0,00%
250;50606.004005/2016-36;3634584;PE;Laura Oliveira;FGV;AT n. 35/2019;2019;BR-367;MG;17/07/2019;Escavação, carga e transporte de material de 1ª categoria DMT 9.000 a 10.000 m c/e.;25373,28;m³;R$ 10,15;Julho;2018;R$ 311.666,87;25373,28;m³;R$ 10,14;Julho;2018;R$ 311.359,81;RODOVIÁRIO;IGP-DI;689,746;689,746;834,713;-R$ 307,06;0,77%;-0,10%;0,00%
251;50606.004005/2016-36;3634584;PE;Laura Oliveira;FGV;AT n. 35/2019;2019;BR-367;MG;17/07/2019;Escavação, carga e transporte de material de 1ª categoria DMT 10.000 a 11.000 m c/e.;1424;m³;R$ 10,78;Julho;2018;R$ 18.577,05;1424;m³;R$ 10,76;Julho;2018;R$ 18.542,58;RODOVIÁRIO;IGP-DI;689,746;689,746;834,713;-R$ 34,47;0,05%;-0,19%;0,00%
252;50606.004005/2016-36;3634584;PE;Laura Oliveira;FGV;AT n. 35/2019;2019;BR-367;MG;17/07/2019;Escavação, carga e transporte de material de 1ª categoria DMT 14.000 a 15.000 m c/e.;1374,88;m³;R$ 13,26;Julho;2018;R$ 22.062,58;1374,88;m³;R$ 13,25;Julho;2018;R$ 22.045,94;RODOVIÁRIO;IGP-DI;689,746;689,746;834,713;-R$ 16,64;0,05%;-0,08%;0,00%
253;50606.004005/2016-36;3634584;PE;Laura Oliveira;FGV;AT n. 35/2019;2019;BR-367;MG;17/07/2019;Corpo BSCC 1,00 x 1,00 alt. 2,5 a 5,0, AC e BP. ;2;m;R$ 1.316,33;Julho;2018;R$ 1.592,99;1;m;R$ 1.306,28;Julho;2018;R$ 1.580,83;RODOVIÁRIO;IGP-DI;689,746;689,746;834,713;-R$ 12,16;0,00%;-0,76%;0,00%
254;50606.004005/2016-36;3634584;PE;Laura Oliveira;FGV;AT n. 35/2019;2019;BR-367;MG;17/07/2019;Corpo BTTC 0,80 m AC e BP. ;10;m;R$ 1.451,18;Julho;2018;R$ 17.561,81;10;m;R$ 1.451,43;Julho;2018;R$ 17.564,84;RODOVIÁRIO;IGP-DI;689,746;689,746;834,713;R$ 3,03;0,04%;0,02%;0,00%
255;50606.004005/2016-36;3634584;PE;Laura Oliveira;FGV;AT n. 35/2019;2019;BR-367;MG;17/07/2019;Boca BTTC 0,80 m esc 0º Ac e BP. ;2;und;R$ 1.636,06;Julho;2018;R$ 3.959,84;2;und;R$ 1.636,73;Julho;2018;R$ 3.961,46;RODOVIÁRIO;IGP-DI;689,746;689,746;834,713;R$ 1,62;0,01%;0,04%;0,00%
256;50606.004005/2016-36;3634584;PE;Laura Oliveira;FGV;AT n. 35/2019;2019;BR-367;MG;17/07/2019;Boca BTTC 0,80 m esc 45º AC e BP. ;2;und;R$ 1.750,82;Julho;2018;R$ 4.237,60;2;und;R$ 1.751,56;Julho;2018;R$ 4.239,39;RODOVIÁRIO;IGP-DI;689,746;689,746;834,713;R$ 1,79;0,01%;0,04%;0,00%
257;50606.004005/2016-36;3634584;PE;Laura Oliveira;FGV;AT n. 35/2019;2019;BR-367;MG;17/07/2019;Boca BSCC 1,00 x 1,00 m AC e BP. ;1;und;R$ 7.858,07;Julho;2018;R$ 19.019,27;2;und;R$ 7.769,51;Julho;2018;R$ 18.804,93;RODOVIÁRIO;IGP-DI;689,746;689,746;834,713;-R$ 214,35;0,05%;-1,13%;0,00%
258;50606.004005/2016-36;3634584;PE;Laura Oliveira;FGV;AT n. 35/2019;2019;BR-367;MG;17/07/2019;Escavação, carga e transporte 1ª categoria 20.000 a 30.000 m.;1311,88;m³;R$ 20,10;Julho;2018;R$ 31.910,83;1311,88;m³;R$ 19,78;Julho;2018;R$ 31.402,80;RODOVIÁRIO;IGP-DI;689,746;689,746;834,713;-R$ 508,03;0,08%;-1,59%;0,00%
259;50606.004005/2016-36;3634584;PE;Laura Oliveira;FGV;AT n. 35/2019;2019;BR-367;MG;17/07/2019;Fornecimento e implantação terminal absorvedor de energia. ;88;und;R$ 8.723,55;Julho;2018;R$ 929.017,54;88;und;R$ 6.118,69;Julho;2018;R$ 651.612,05;RODOVIÁRIO;IGP-DI;689,746;689,746;834,713;-R$ 277.405,49;1,62%;-29,86%;-0,48%
260;50606.004005/2016-36;3634584;PE;Laura Oliveira;FGV;AT n. 35/2019;2019;BR-367;MG;17/07/2019;Abrigo de ônibus – tipo concha.;4;und;R$ 15.866,60;Julho;2018;R$ 76.805,42;4;und;R$ 15.606,91;Julho;2018;R$ 75.548,34;RODOVIÁRIO;IGP-DI;689,746;689,746;834,713;-R$ 1.257,08;0,19%;-1,64%;0,00%
261;50616.001243/2014-17;3634793;RPFO;Gabriel Assunção;FGV;AT n. 36/2019;2019;BR-470;SC;17/07/2019;Concreto projetado Fck= 25 Mpa via seca aplicado em superfícies inclinadas de 60º a 90º.;156;m³;R$ 604,45;Maio;2013;R$ 154.720,41;156;m³;R$ 531,71;Maio;2013;R$ 136.101,23;RODOVIÁRIO;IGP-DI;508,715;508,715;834,713;-R$ 18.619,18;0,05%;-12,03%;-0,01%
262;50616.001243/2014-17;3634793;RPFO;Gabriel Assunção;FGV;AT n. 36/2019;2019;BR-470;SC;17/07/2019;Geocélula de PEAD, paredes perfuradas, soldadas – altura de 200 mm e 250 cm2 de área de célula – fornecimento e instalação.;9771;m²;R$ 67,57;Maio;2013;R$ 1.083.317,02;9771;m²;R$ 67,94;Maio;2013;R$ 1.089.249,05;RODOVIÁRIO;IGP-DI;508,715;508,715;834,713;R$ 5.932,03;0,36%;0,55%;0,00%
263;50616.001243/2014-17;3634793;RPFO;Gabriel Assunção;FGV;AT n. 36/2019;2019;BR-470;SC;17/07/2019;Fornecimento de bloco de EPS – dimensões (4,0 x 1,20 x 0,5 m) T5 – densidade de 21 kg/m3. ;420;m³;R$ 246,67;Maio;2013;R$ 169.991,91;420;m³;R$ 271,39;Maio;2013;R$ 187.027,63;RODOVIÁRIO;IGP-DI;508,715;508,715;834,713;R$ 17.035,72;0,06%;10,02%;0,01%
264;50616.001243/2014-17;3634793;RPFO;Gabriel Assunção;FGV;AT n. 36/2019;2019;BR-470;SC;17/07/2019;Geomembrana de PEAD de 1 mm de espessura RT 22 kN/m. ;500;m²;R$ 11,32;Maio;2013;R$ 9.287,08;500;m²;R$ 12,45;Maio;2013;R$ 10.214,14;RODOVIÁRIO;IGP-DI;508,715;508,715;834,713;R$ 927,07;0,00%;9,98%;0,00%
265;50616.001243/2014-17;3634793;RPFO;Gabriel Assunção;FGV;AT n. 36/2019;2019;BR-470;SC;17/07/2019;Fornecimento de materiais e execução de reforço de fundações Ringtrac J 2.000 PM. ;39464;m;R$ 296,40;Maio;2013;R$ 19.192.959,00;39464;und;R$ 264,24;Maio;2013;R$ 17.110.484,10;RODOVIÁRIO;IGP-DI;508,715;508,715;834,713;-R$ 2.082.474,90;5,71%;-10,85%;-0,62%
266;50616.001243/2014-17;3634793;RPFO;Gabriel Assunção;FGV;AT n. 36/2019;2019;BR-470;SC;17/07/2019;Cola Sikadur 32 gel. ;600;kg;R$ 84,30;Maio;2013;R$ 82.993,00;600;kg;R$ 106,92;Maio;2013;R$ 105.262,29;RODOVIÁRIO;IGP-DI;508,715;508,715;834,713;R$ 22.269,30;0,04%;26,83%;0,01%
267;50607.000532/2019-12;3665975;PE;Rodrigo Lima;DNIT;AT n. 42/2019;2019;BR-101;RJ;19/07/2019;Tela metálica de dupla torção integrada a uma geomanta tridimensional tipo Macmat – R ou similar, fornecimento e colocação, exclusive perfuração e tirante. ;1625;m²;R$ 70,50;Março;2018;R$ 144.962,68;1625;m²;R$ 57,27;Março;2018;R$ 117.759,05;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713;-R$ 27.203,64;0,13%;-18,77%;-0,02%
268;50607.000532/2019-12;3665975;PE;Rodrigo Lima;DNIT;AT n. 42/2019;2019;BR-101;RJ;19/07/2019;Tela metálica tipo Macsteel HR 100 ou similar – fornecimento e colocação, exclusive perfuração e tirante. ;4550;m²;R$ 155,84;Março;2018;R$ 897.230,59;4550;m²;R$ 121,64;Março;2018;R$ 700.328,09;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713;-R$ 196.902,50;0,78%;-21,95%;-0,17%
269;50607.000532/2019-12;3665975;PE;Rodrigo Lima;DNIT;AT n. 42/2019;2019;BR-101;RJ;19/07/2019;Tela metálica tipo HEA 300 ou similar, compreendendo fornecimento e montagem, exclusive perfuração e tirante.  ;850;m²;R$ 360,35;Março;2018;R$ 387.576,28;850;m²;R$ 315,39;Março;2018;R$ 339.219,32;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713;-R$ 48.356,96;0,38%;-12,48%;-0,05%
270;50607.000532/2019-12;3665975;PE;Rodrigo Lima;DNIT;AT n. 42/2019;2019;BR-101;RJ;19/07/2019;Fornecimento e colocação de barreira dinâmica contra queda de rochas, composta de arame de alta resistência, energia de contenção barreira dinâmica RB 750 DF ou similar. ;180;m²;R$ 2.274,70;Março;2018;R$ 518.096,15;180;m²;R$ 1.255,94;Março;2018;R$ 286.058,68;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713;-R$ 232.037,47;0,32%;-44,79%;-0,14%
271;50607.000532/2019-12;3665975;PE;Rodrigo Lima;DNIT;AT n. 42/2019;2019;BR-101;RJ;19/07/2019;Tela metálica tipo Steel grid HR 100 + pvc ou similar, compreendendo fornecimento e montagem, exclusive perfuração e tirante.;5405,8;m²;R$ 147,94;Março;2018;R$ 1.011.950,63;5405,8;m²;R$ 113,51;Março;2018;R$ 776.439,88;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713;-R$ 235.510,75;0,87%;-23,27%;-0,20%
272;50607.000532/2019-12;3665975;PE;Rodrigo Lima;DNIT;AT n. 42/2019;2019;BR-101;RJ;19/07/2019;Barreira de siltagem.;243;m;R$ 16,88;Março;2018;R$ 5.190,30;243;m;R$ 11,41;Março;2018;R$ 3.508,37;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713;-R$ 1.681,93;0,00%;-32,41%;0,00%
273;50607.000532/2019-12;3665975;PE;Rodrigo Lima;DNIT;AT n. 42/2019;2019;BR-101;RJ;19/07/2019;Barreira de proteção de drenagem.;12;und;R$ 158,53;Março;2018;R$ 2.407,17;12;und;R$ 158,53;Março;2018;R$ 2.407,17;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713; R$-   ;0,00%;0,00%;0,00%
274;50607.000543/2019-94;3663206;PE;Laura Oliveira;FGV;AT n. 37/2019;2019;BR-101;RJ;22/07/2019;"Tela metálica tipo Steelgrid HR50PVC ou similar, compreendendo fornecimento e montagem, exclusive perfuração e tirante.  Sistema de contenção de talude com tela
metálica (sistema Steelgrid HR50 Link CMP – Galmac 4 R + PVC ousimilar), com resistência longitudinal à tração da solução de 90 + 7 Kn/m e resistência nominal à tração na ruptura (cabo de aço) de 1770 Mpa – fornecimento e instalação – Exclusive perfuração e tirante";13233;m²;R$ 171,23;Março;2018;R$ 2.867.159,84;13233;m²;R$ 136,20;Março;2018;R$ 2.280.600,18;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713;-R$ 586.559,65;2,54%;-20,46%;-0,52%
275;50607.000543/2019-94;3663206;PE;Laura Oliveira;FGV;AT n. 37/2019;2019;BR-101;RJ;22/07/2019;Tela metálica tipo Steel Grid HR 100 + PVC ou similar, compreendendo fornecimento e montagem, exclusive perfuração e tirante. ;1260;m²;R$ 147,94;Março;2018;R$ 235.868,47;1260;m²;R$ 113,52;Março;2018;R$ 180.990,87;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713;-R$ 54.877,60;0,20%;-23,27%;-0,05%
276;50607.000543/2019-94;3663206;PE;Laura Oliveira;FGV;AT n. 37/2019;2019;BR-101;RJ;22/07/2019;Barreira de siltagem. Fornecimento e colocação de barreira de siltagem.;37;m;R$ 17,09;Março;2018;R$ 800,12;37;m;R$ 11,49;Março;2018;R$ 537,94;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713;-R$ 262,18;0,00%;-32,77%;0,00%
277;50607.000543/2019-94;3663206;PE;Laura Oliveira;FGV;AT n. 37/2019;2019;BR-101;RJ;22/07/2019;Barreira de proteção de drenagem. ;13;und;R$ 159,39;Março;2018;R$ 2.621,91;13;und;R$ 159,30;Março;2018;R$ 2.620,43;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713;-R$ 1,48;0,00%;-0,06%;0,00%
278;50607.000539/2019-26;3690176;PE;Gleydson Viegas;DNIT;AT n. 43/2019;2019;BR-101;RJ;24/07/2019;Tela metálica tipo Steelgrid HR50PVC ou similar, compreendendo fornecimento e montagem, exclusive perfuração e tirante.;15597,25;m²;R$ 171,23;Março;2018;R$ 3.379.415,76;15597,25;m²;R$ 136,20;Março;2018;R$ 2.688.059,49;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713;-R$ 691.356,27;3,00%;-20,46%;-0,61%
279;50607.000539/2019-26;3690176;PE;Gleydson Viegas;DNIT;AT n. 43/2019;2019;BR-101;RJ;24/07/2019;Tela metálica de dupla torção integrada a uma geomanta tridimensional tipo Macmat- R ou similar, fornecimento e colocação, exclusive perfuração e tirante.;2520;m²;R$ 70,50;Março;2018;R$ 224.803,67;2520;m²;R$ 57,27;Março;2018;R$ 182.617,11;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713;-R$ 42.186,56;0,20%;-18,77%;-0,04%
280;50607.000539/2019-26;3690176;PE;Gleydson Viegas;DNIT;AT n. 43/2019;2019;BR-101;RJ;24/07/2019;Tela metálica tipo HEA 300 ou similar, compreendendo fornecimento e montagem, exclusive perfuração e tirante.  ;2400;m²;R$ 360,35;Março;2018;R$ 1.094.333,02;2400;m²;R$ 317,67;Março;2018;R$ 964.719,77;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713;-R$ 129.613,25;1,08%;-11,84%;-0,13%
281;50607.000539/2019-26;3690176;PE;Gleydson Viegas;DNIT;AT n. 43/2019;2019;BR-101;RJ;24/07/2019;Barreira de siltagem.;235;m;R$ 17,01;Março;2018;R$ 5.058,08;235;m²;R$ 11,45;Março;2018;R$ 3.404,76;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713;-R$ 1.653,32;0,00%;-32,69%;0,00%
282;50607.000539/2019-26;3690176;PE;Gleydson Viegas;DNIT;AT n. 43/2019;2019;BR-101;RJ;24/07/2019;Barreira de proteção de drenagem. ;8;und;R$ 159,08;Março;2018;R$ 1.610,35;8;und ;R$ 159,00;Março;2018;R$ 1.609,54;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713;-R$ 0,81;0,00%;-0,05%;0,00%
283;50616.000217/2018-97;3746924;PE;Pedro Henrique;FGV;AT n. 41/2019;2019;BR-470;SC;02/08/2019;Placa de advertência para sinalização de obras montada em suporte metálico móvel, L= 1,25 m e H= 0,80 m. ;2;und;R$ 67,45;Outubro;2018;R$ 158,89;2;und;R$ 67,47;Outubro;2018;R$ 158,93;RODOVIÁRIO;IGP-DI;708,694;708,694;834,713;R$ 0,05;0,00%;0,03%;0,00%
